NTA Experiment Summary File
57,106.1,116.3,125.9,133.0,122.0,
58,106.8,117.2,126.9,134.0,122.7,
59,107.4,118.2,128.0,135.1,123.5,
60,108.1,119.1,129.0,136.2,124.2,
61,108.7,120.0,130.0,137.3,125.0,
62,109.4,121.5,131.2,138.4,125.8,
63,110.0,123.0,132.3,139.5,126.5,
64,110.8,124.5,133.5,140.7,127.3,
65,111.6,126.0,134.6,141.9,128.0,
66,112.4,127.5,135.8,143.2,128.8,
67,113.1,129.0,136.9,144.5,129.5,
68,113.9,130.9,138.1,145.8,130.4,
69,114.7,133.2,139.3,147.1,131.5,
70,115.5,135.5,140.6,148.3,132.6,
71,116.2,137.9,142.2,149.6,133.6,
72,117.0,140.4,143.8,151.2,134.7,
73,117.8,143.8,145.4,152.9,135.8,
74,118.6,147.3,147.1,154.6,136.9,
75,119.4,150.9,148.7,156.3,138.0,
76,120.4,155.4,150.4,158.0,139.1,
77,122.5,160.0,152.7,159.7,140.3,
78,124.6,164.8,155.0,162.0,142.2,
79,126.7,169.6,157.3,164.3,144.1,
80,128.8,173.7,159.6,166.7,146.0,
81,134.4,177.7,162.2,169.1,147.9,
82,158.7,181.3,165.0,172.1,149.8,
83,171.4,184.3,167.7,175.5,153.3,
84,175.8,187.4,170.5,178.9,156.8,
85,180.1,190.3,173.4,183.0,160.6,
86,182.3,192.8,176.4,187.5,166.7,
87,184.4,195.4,179.3,192.5,174.1,
88,186.6,197.9,182.5,198.2,183.6,
89,188.8,200.5,185.8,204.3,194.1,
90,191.1,203.2,189.1,210.7,203.4,
91,193.4,205.9,193.1,217.5,211.1,
92,195.8,208.6,197.3,224.8,217.1,
93,198.1,211.9,202.2,233.1,222.5,
94,200.7,215.5,208.3,244.1,227.2,
95,204.4,219.2,216.8,268.2,232.0,
96,208.1,224.4,229.6,329.0,236.7,
97,212.7,230.0,251.8,345.6,241.9,
98,218.4,238.8,280.6,357.9,248.5,
99,226.8,253.4,313.9,371.4,263.6,
100,700.0,990.0,990.0,990.0,990.0,

